Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
19877-DHK,Male,35,No,Dhaka,7,27,No Deal,Yes,No,Yes,Mobile Broadband,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,492.0,4449.75,0.0,0.0,2861.32,7311.07,Stayed,Not Applicable,Not Applicable
58353-DHK,Female,45,Yes,Dhaka,14,13,No Deal,Yes,Yes,Yes,Mobile Broadband,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-30.0,4068.0,287.47,75.0,721.57,4577.1,Stayed,Not Applicable,Not Applicable
25063-CTG,Male,51,No,Chattogram,4,35,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,554.25,2106.38,0.0,0.0,1009.5,3115.88,Churned,Competitor,Competitor had better devices
59787-KHU,Male,79,No,Khulna,3,21,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,735.0,9283.88,0.0,0.0,2712.45,11996.33,Churned,Dissatisfaction,Product dissatisfaction
28544-KHU,Female,80,No,Khulna,3,8,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,629.25,2005.5,0.0,0.0,166.05,2171.55,Churned,Dissatisfaction,Network reliability
32750-RAJ,Male,24,No,Rajshahi,9,2,Deal 5,Yes,No,Yes,Mobile Broadband,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,520.5,4285.88,0.0,0.0,1131.98,5417.85,Stayed,Not Applicable,Not Applicable
84741-DHK,Female,66,Yes,Dhaka,9,23,Deal 1,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,822.75,59281.88,0.0,0.0,5303.7,64585.57,Stayed,Not Applicable,Not Applicable
65618-RAN,Male,51,Yes,Rangpur,12,24,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,634.88,40333.5,0.0,150.0,6123.6,46607.1,Stayed,Not Applicable,Not Applicable
64233-RAN,Female,63,No,Rangpur,4,10,Deal 5,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,361.5,2552.62,0.0,0.0,552.82,3105.45,Stayed,Not Applicable,Not Applicable
23612-DHK,Female,41,No,Dhaka,3,1,No Deal,Yes,Yes,Yes,Mobile Broadband,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,678.38,44684.25,0.0,0.0,13874.25,58558.5,Stayed,Not Applicable,Not Applicable
45397-RAN,Male,48,Yes,Rangpur,0,1,No Deal,No,No,Yes,Mobile Broadband,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,339.0,18454.12,0.0,0.0,0.0,18454.12,Stayed,Not Applicable,Not Applicable
53023-DHK,Male,26,Yes,Dhaka,6,22,No Deal,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,876.0,63425.62,0.0,0.0,8645.4,72071.02,Stayed,Not Applicable,Not Applicable
13717-DHK,Male,56,Yes,Dhaka,15,26,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,517.12,2636.25,0.0,0.0,699.38,3335.62,Stayed,Not Applicable,Not Applicable
71897-DHK,Female,36,Yes,Dhaka,8,6,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,759.75,54459.38,0.0,0.0,1215.0,55674.38,Stayed,Not Applicable,Not Applicable
15776-DHK,Female,38,Yes,Dhaka,1,19,No Deal,No,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,337.88,19200.75,0.0,0.0,0.0,19200.75,Stayed,Not Applicable,Not Applicable
56731-CTG,Female,53,Yes,Chattogram,5,8,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,718.12,51370.5,0.0,0.0,14515.95,65886.45,Stayed,Not Applicable,Not Applicable
