Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Predicted_Status,Churn_Probability
93520-RAN,Female,67,No,Rangpur,13,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,540.75,540.75,0.0,0.0,58.27,599.03,Joined,Not Applicable,Not Applicable,Likely to Churn,75.98
57256-CTG,Female,18,No,Chattogram,9,7,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,148.88,429.0,0.0,0.0,70.2,499.2,Joined,Not Applicable,Not Applicable,Likely to Churn,86.19
72357-SYL,Female,53,No,Sylhet,14,12,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,332.25,332.25,0.0,0.0,322.12,654.38,Joined,Not Applicable,Not Applicable,Likely to Churn,96.83
66612-KHU,Female,58,Yes,Khulna,11,18,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,149.62,435.0,0.0,0.0,60.53,495.52,Joined,Not Applicable,Not Applicable,Likely to Churn,88.1
22119-CTG,Male,31,Yes,Chattogram,5,5,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,150.38,252.75,0.0,0.0,27.15,279.9,Joined,Not Applicable,Not Applicable,Likely to Churn,96.09
66712-RAN,Female,47,Yes,Rangpur,6,33,Deal 5,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,632.25,1762.88,0.0,0.0,308.7,2071.57,Joined,Not Applicable,Not Applicable,Likely to Churn,90.64
53815-CTG,Female,36,No,Chattogram,2,4,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,147.75,147.75,0.0,0.0,257.1,404.85,Joined,Not Applicable,Not Applicable,Likely to Churn,96.51
34110-DHK,Female,20,Yes,Dhaka,6,3,No Deal,Yes,Yes,Yes,Mobile Broadband,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,375.75,375.75,0.0,0.0,218.47,594.23,Joined,Not Applicable,Not Applicable,Likely to Churn,98.24
12056-CTG,Male,27,No,Chattogram,2,20,No Deal,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,678.0,2013.38,0.0,0.0,708.3,2721.67,Joined,Not Applicable,Not Applicable,Likely to Churn,81.04
82129-CTG,Female,26,No,Chattogram,9,8,Deal 5,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,440.25,1264.5,0.0,0.0,258.07,1522.57,Joined,Not Applicable,Not Applicable,Likely to Churn,82.13
39764-DHK,Female,39,Yes,Dhaka,5,14,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,145.12,347.62,0.0,0.0,665.1,1012.73,Joined,Not Applicable,Not Applicable,Likely to Churn,92.54
29626-CTG,Male,67,No,Chattogram,10,22,Deal 5,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,376.12,376.12,0.0,375.0,287.47,1038.6,Joined,Not Applicable,Not Applicable,Likely to Churn,98.45
47133-MYM,Female,60,Yes,Mymensingh,15,8,No Deal,Yes,No,Yes,Mobile Broadband,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,334.5,920.25,0.0,0.0,350.78,1271.03,Joined,Not Applicable,Not Applicable,Likely to Churn,82.6
62842-BAR,Male,33,Yes,Barishal,11,25,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,144.75,333.0,0.0,0.0,748.65,1081.65,Joined,Not Applicable,Not Applicable,Likely to Churn,75.67
21288-DHK,Female,63,No,Dhaka,12,34,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,451.88,1278.75,0.0,525.0,452.25,2256.0,Joined,Not Applicable,Not Applicable,Likely to Churn,89.36
83994-DHK,Male,48,Yes,Dhaka,8,24,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,680.25,1782.38,0.0,0.0,121.28,1903.65,Joined,Not Applicable,Not Applicable,Likely to Churn,79.7
24754-RAJ,Female,63,Yes,Rajshahi,0,28,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,521.62,1501.5,253.5,0.0,37.57,1285.58,Joined,Not Applicable,Not Applicable,Likely to Churn,89.51
24990-CTG,Female,36,No,Chattogram,8,24,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,537.38,1018.12,0.0,0.0,435.45,1453.58,Joined,Not Applicable,Not Applicable,Likely to Churn,96.85
26500-RAN,Female,62,Yes,Rangpur,3,19,Deal 5,Yes,No,Yes,Mobile Broadband,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mobile Banking (bKash/Nagad),466.12,848.25,0.0,0.0,725.85,1574.1,Joined,Not Applicable,Not Applicable,Likely to Churn,91.01
17796-CTG,Female,65,No,Chattogram,5,1,No Deal,Yes,No,Yes,Mobile Broadband,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,363.38,363.38,0.0,0.0,123.15,486.53,Joined,Not Applicable,Not Applicable,Likely to Churn,98.31
21956-CTG,Female,59,Yes,Chattogram,10,8,No Deal,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,617.25,1608.0,0.0,150.0,1011.82,2769.82,Joined,Not Applicable,Not Applicable,Likely to Churn,80.08
92198-DHK,Female,44,Yes,Dhaka,8,15,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,151.88,151.88,0.0,0.0,211.35,363.23,Joined,Not Applicable,Not Applicable,Likely to Churn,94.15
79905-DHK,Female,24,No,Dhaka,0,12,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,153.38,153.38,0.0,0.0,225.68,379.05,Joined,Not Applicable,Not Applicable,Likely to Churn,95.37
71509-BAR,Female,40,No,Barishal,3,27,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,409.88,409.88,0.0,0.0,272.47,682.35,Joined,Not Applicable,Not Applicable,Likely to Churn,97.93
62535-RAJ,Male,42,No,Rajshahi,8,22,Deal 5,Yes,No,Yes,Mobile Broadband,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,530.25,1692.38,0.0,0.0,563.4,2255.77,Joined,Not Applicable,Not Applicable,Likely to Churn,83.15
